"Страна","Дата","Заражений","Выздоровлений","Смертей","Заражений за день","Выздоровлений за день","Смертей за день"
Азербайджан,18.09.2020,38894,36424,572,117,135,1
Иран,03.02.2020,0,0,0,0,0,0
Чили,02.10.2020,466590,439607,12867,1840,1459,45
Италия,21.07.2020,244752,197431,35073,128,269,15
Кот-д’Ивуар,21.01.2021,25751,24119,142,154,252,0
Вьетнам,03.08.2020,652,374,7,31,1,1
Малайзия,29.01.2021,203933,157722,733,5725,3423,16
Чад,11.12.2020,1745,1595,102,6,8,0
Никарагуа,25.03.2020,2,0,0,0,0,0
Мозамбик,01.05.2020,79,12,0,3,0,0
Сальвадор,19.05.2020,1498,502,30,85,28,0
Коста-Рика,30.10.2020,108866,66202,1371,1296,536,14
Гамбия,08.11.2020,3684,3533,121,0,6,0
Аргентина,31.03.2020,1054,240,27,234,12,4
Эритрея,22.06.2020,143,39,0,0,0,0
Багамские острова,03.01.2021,7914,6239,175,27,0,4
Румыния,11.07.2020,32079,21414,1871,698,285,24
Израиль,31.08.2020,116906,94369,953,2178,1447,23
Ирак,08.10.2020,394566,323815,9683,3522,4031,79
Нидерланды,03.09.2020,75356,1379,6268,696,97,1
Финляндия,25.10.2020,14848,9800,353,196,0,0
Самоа,23.02.2020,0,0,0,0,0,0
Ирландия,28.05.2020,24841,22089,1639,38,0,8
Таджикистан,14.09.2020,9088,7853,72,39,37,0
Китай,19.08.2020,90013,84023,4713,33,165,1
Северная Македония,15.10.2020,22170,16758,815,534,167,6
Ботсвана,05.03.2020,0,0,0,0,0,0
Йемен,28.02.2020,0,0,0,0,0,0
Афганистан,23.04.2020,1236,179,40,59,13,0
Папуа — Новая Гвинея,30.06.2020,11,8,0,0,0,0
Судно "MS Zaandam",07.12.2020,9,7,2,0,0,0
Бразилия,21.06.2020,1083341,588118,50591,15762,11339,615
Гвинея,31.01.2020,0,0,0,0,0,0
Бурунди,18.05.2020,42,20,1,19,5,0
Египет,19.02.2020,1,0,0,0,0,0
Япония,24.11.2020,135786,112385,1963,1232,1042,14
Доминиканская Республика,05.09.2020,98776,71901,1840,2147,1030,39
Сан-Марино,15.03.2020,101,4,5,21,0,0
Кения,28.01.2021,100422,83757,1753,99,66,2
Белиз,27.08.2020,818,54,12,58,0,1
Гаити,17.04.2020,41,0,3,0,0,0
Суринам,08.06.2020,128,9,2,6,0,1
Непал,05.03.2020,1,1,0,0,0,0
Ливия,13.03.2020,0,0,0,0,0,0
Саудовская Аравия,09.04.2020,3287,666,44,355,35,3
Ангола,30.03.2020,7,0,2,0,0,0
Куба,10.02.2020,0,0,0,0,0,0
Литва,30.01.2020,0,0,0,0,0,0
Панама,19.01.2021,301534,243157,4864,2173,2029,36
Эстония,29.11.2020,12052,7010,112,354,36,3
Замбия,01.03.2020,0,0,0,0,0,0
Мадагаскар,10.03.2020,0,0,0,0,0,0
Намибия,12.08.2020,3406,835,22,177,120,3
Венгрия,21.07.2020,4347,3257,596,8,25,0
Габон,01.11.2020,8968,8698,55,0,0,0
Словения,21.10.2020,15982,6922,200,1509,350,8
Турция,04.08.2020,234934,218491,5765,1083,994,18
ЮАР,04.10.2020,681289,614781,16976,1573,2018,38
Дания,26.09.2020,26687,19781,648,621,340,1
Ливан,09.05.2020,809,234,26,13,11,0
Тринидад и Тобаго,25.08.2020,1252,178,15,153,13,0
Зимбабве,15.03.2020,0,0,0,0,0,0
Буркина-Фасо,21.12.2020,5301,3758,76,141,99,0
Мальта,27.12.2020,12325,10668,210,84,118,4
Гана,27.12.2020,54401,53180,333,115,98,0
Республика Конго,03.09.2020,4628,1742,102,0,0,0
Южная Корея,11.07.2020,13417,12178,289,44,34,1
Черногория,12.02.2020,0,0,0,0,0,0
Южный Судан,16.07.2020,2171,1175,41,18,0,0
Багамские острова,08.03.2020,0,0,0,0,0,0
Мьянма,08.11.2020,61377,45756,1420,1029,1090,24
Бангладеш,16.10.2020,386086,300738,5623,1527,1509,15
Коста-Рика,12.05.2020,804,520,7,3,3,0
Сальвадор,26.12.2020,44619,39989,1297,0,0,8
Мозамбик,10.11.2020,13892,11748,99,69,89,0
Сенегал,19.06.2020,5639,3788,79,164,72,3
Ирландия,17.12.2020,77678,23364,2143,481,0,3
Восточный Тимор,29.06.2020,24,24,0,0,0,0
Антигуа и Барбуда,03.10.2020,107,96,3,1,2,0
Самоа,17.01.2021,2,2,0,0,0,0
Латвия,06.06.2020,1086,781,25,1,0,0
Финляндия,17.05.2020,6347,5000,298,61,0,1
Гайана,19.09.2020,2168,1331,64,66,17,2
ЦАР,10.07.2020,4259,1142,53,59,0,1
Люксембург,12.07.2020,4925,4086,111,83,0,1
Филиппины,19.06.2020,28459,7378,1130,660,288,14
Монако,11.10.2020,234,209,2,1,0,0
Боливия,16.10.2020,139562,103896,8439,243,397,32
Оман,24.03.2020,84,17,0,18,0,0
Мавритания,15.04.2020,7,2,1,0,0,0
Андорра,13.07.2020,858,803,52,3,0,0
Босния и Герцеговина,16.10.2020,32845,24603,980,621,247,8
Уганда,29.07.2020,1140,1028,2,5,39,0
Экваториальная Гвинея,15.01.2021,5316,5169,86,0,0,0
Сент-Винсент и Гренадины,08.08.2020,56,49,0,0,0,0
Тунис,02.12.2020,99280,73607,3359,2511,2756,99
Малайзия,15.04.2020,5072,2647,83,85,169,1
Чад,03.06.2020,820,590,66,17,28,0
Вьетнам,29.01.2020,2,0,0,0,0,0
Кот-д’Ивуар,19.02.2020,0,0,0,0,0,0
Иран,29.07.2020,298909,259116,16343,2636,2097,196
Marshall Islands,23.03.2020,0,0,0,0,0,0
Сингапур,03.08.2020,53051,47179,27,226,253,0
Грузия,09.10.2020,10752,5866,72,527,313,6
Венгрия,11.02.2020,0,0,0,0,0,0
Узбекистан,17.11.2020,70648,67927,599,267,272,1
Перу,31.03.2020,1065,394,30,115,341,6
Эстония,15.06.2020,1974,1717,69,1,12,0
Беларусь,26.08.2020,70974,69378,657,247,281,5
Литва,02.08.2020,2110,1644,80,17,0,0
Куба,22.07.2020,2462,2326,87,13,5,0
Швейцария,12.07.2020,32883,29600,1968,66,100,0
ДР Конго,13.04.2020,235,17,20,1,1,0
Сирия,12.07.2020,394,126,16,0,0,0
Бруней,27.03.2020,115,11,0,1,6,0
Гана,18.05.2020,5735,1754,29,0,0,0
Буркина-Фасо,24.05.2020,814,672,52,0,0,0
Ливан,02.11.2020,83697,43885,652,1080,981,9
Габон,10.05.2020,661,110,8,0,0,0
Катар,23.09.2020,124175,121006,212,258,240,1
Бурунди,27.12.2020,804,687,2,18,0,0
Судно "MS Zaandam",07.06.2020,9,0,2,0,0,0
Йемен,12.01.2021,2107,1416,612,2,0,0
Ботсвана,06.01.2021,15440,12481,45,0,0,0
Армения,26.03.2020,290,18,1,25,2,1
Австрия,17.03.2020,1332,1,3,314,-5,0
Непал,06.01.2021,263193,256161,1899,409,495,6
Сербия,22.07.2020,22031,0,499,426,0,8
Гаити,24.11.2020,9224,7886,232,10,0,0
Суринам,06.12.2020,5324,5210,117,0,3,0
Кения,12.02.2020,0,0,0,0,0,0
Ливия,29.12.2020,99350,70412,1444,437,649,4
Руанда,03.06.2020,397,271,2,13,2,0
Лихтенштейн,09.07.2020,84,81,1,0,0,0
Пакистан,30.08.2020,295636,280547,6288,264,207,4
Венгрия,16.08.2020,4916,3623,608,39,17,1
Намибия,02.08.2020,2294,187,11,70,16,0
Сомали,08.04.2020,12,1,1,4,0,1
Панама,26.07.2020,60296,34131,1294,1432,703,19
Канада,24.05.2020,86106,43998,7326,955,680,88
Эстония,21.12.2020,22083,13677,181,289,87,7
Республика Конго,13.09.2020,4928,3887,88,0,0,0
Южная Корея,01.07.2020,12904,11684,282,54,71,0
Гана,01.12.2020,51667,50547,323,0,0,0
Южный Судан,20.06.2020,1882,122,34,18,0,0
Турция,26.01.2021,2442350,2322511,25344,7103,8108,134
Черногория,30.01.2020,0,0,0,0,0,0
Словения,29.09.2020,5487,3682,149,99,82,0
Габон,23.11.2020,9150,8999,59,19,23,0
Швеция,26.06.2020,65212,0,5280,1203,0,50
Мальта,03.09.2020,1965,1528,13,34,38,0
Буркина-Фасо,29.11.2020,2856,2593,68,40,14,0
Тринидад и Тобаго,16.09.2020,3327,810,58,104,12,2
Ливан,29.04.2020,721,150,24,4,5,0
Дания,18.10.2020,35893,29741,680,453,338,1
ЮАР,10.10.2020,690896,622153,17673,2544,2072,126
Великобритания,10.04.2020,86660,588,10829,4367,229,1123
Судно "MS Zaandam",13.12.2020,9,7,2,0,0,0
Зимбабве,10.04.2020,13,0,3,2,0,0
Папуа — Новая Гвинея,06.07.2020,11,8,0,0,0,0
Бурунди,13.06.2020,85,45,1,0,0,0
Бразилия,13.07.2020,1884967,1291251,72833,20286,26408,733
Гвинея,19.02.2020,0,0,0,0,0,0
Северная Македония,05.10.2020,18873,15487,760,83,146,4
Китай,28.07.2020,87457,80957,4664,212,51,1
Таджикистан,04.09.2020,8724,7515,69,34,33,0
Йемен,22.02.2020,0,0,0,0,0,0
Ботсвана,24.02.2020,0,0,0,0,0,0
Гаити,13.05.2020,209,17,16,37,0,3
Белиз,22.09.2020,1635,967,21,0,0,0
Суринам,02.06.2020,54,9,1,10,0,0
Ливия,16.02.2020,0,0,0,0,0,0
Япония,06.10.2020,86540,78521,1609,513,450,7
Кения,02.01.2021,96678,79012,1685,64,210,4
Египет,31.01.2020,0,0,0,0,0,0
Непал,24.02.2020,1,1,0,0,0,0
Саудовская Аравия,18.03.2020,171,6,0,0,0,0
Греция,18.03.2020,418,8,5,31,0,0
Польша,24.06.2020,32821,18134,1396,294,561,21
Доминиканская Республика,11.09.2020,102232,75747,1941,516,713,15
Сан-Марино,10.04.2020,344,50,34,11,1,0
Гамбия,22.10.2020,3659,2660,119,2,2,1
Аргентина,25.03.2020,387,52,8,0,0,2
Румыния,01.07.2020,27296,19314,1667,326,264,16
Багамские острова,25.01.2021,8133,6720,175,32,0,0
Эритрея,14.07.2020,232,107,0,0,0,0
Коста-Рика,25.11.2020,134520,82611,1674,1330,638,12
Мозамбик,07.05.2020,81,24,0,0,3,0
Никарагуа,31.03.2020,5,0,1,1,0,0
Сальвадор,14.06.2020,3720,1846,74,117,108,2
Самоа,29.02.2020,0,0,0,0,0,0
Финляндия,20.11.2020,20747,15300,375,461,0,1
Ирландия,03.06.2020,25111,22698,1659,45,609,1
Израиль,10.09.2020,146351,110134,1103,4161,2018,14
Нидерланды,27.12.2020,774009,9033,11090,9102,59,28
Ирак,14.10.2020,413215,347396,10021,3857,3188,51
Молдавия,07.04.2020,1056,40,22,91,3,3
Кабо-Верде,26.08.2020,3630,2713,38,62,40,1
Сент-Винсент и Гренадины,03.02.2020,0,0,0,0,0,0
Экваториальная Гвинея,06.03.2020,0,0,0,0,0,0
Малави,31.03.2020,0,0,0,0,0,0
Тунис,21.05.2020,1046,883,47,1,21,0
Гватемала,12.04.2020,155,19,5,18,0,2
Чили,12.10.2020,482832,454434,13376,1461,1082,58
Азербайджан,23.08.2020,35274,32993,518,169,151,3
Иран,24.01.2020,0,0,0,0,0,0
Чад,17.12.2020,1818,1626,102,18,6,0
Кот-д’Ивуар,30.12.2020,22366,21909,137,116,37,0
Вьетнам,13.08.2020,911,425,21,28,16,3
Ямайка,18.06.2020,638,458,10,12,7,0
Италия,16.01.2021,2368733,1729216,81800,16310,16186,475
Сан-Томе и Принсипи,11.10.2020,929,892,15,7,2,0
Бенин,07.04.2020,26,5,1,0,0,0
Ботсвана,16.01.2021,17365,13519,71,0,0,0
Йемен,18.01.2021,2113,1421,612,1,2,0
Китай,04.02.2020,23718,843,491,3992,229,66
Бурунди,01.12.2020,689,575,1,1,0,0
Катар,19.10.2020,129671,126650,224,240,244,0
Судно "MS Zaandam",01.06.2020,9,0,2,0,0,0
Сербия,15.01.2021,369823,0,3708,1751,0,21
Пакистан,09.09.2020,300030,287658,6365,371,1152,6
Лесото,28.06.2020,27,4,0,3,0,0
Австрия,08.04.2020,12942,4512,273,303,466,30
Армения,01.04.2020,571,31,4,39,1,1
Непал,16.01.2021,267056,261044,1954,240,477,6
Лихтенштейн,03.07.2020,83,81,1,0,0,0
Россия,20.05.2020,308705,85392,2972,8764,9262,135
Кения,09.03.2020,0,0,0,0,0,0
Гаити,29.10.2020,9046,7429,232,20,7,0
Суринам,12.12.2020,5340,5221,117,1,1,0
Ливия,24.01.2021,113688,92250,1763,1148,1298,26
Беларусь,21.09.2020,75898,73301,785,224,36,5
Эстония,24.05.2020,1823,1532,64,2,6,0
Швейцария,02.07.2020,31967,29200,1965,116,0,0
Куба,17.08.2020,3364,2692,88,48,72,0
Узбекистан,27.09.2020,55320,51829,458,501,507,6
Литва,12.08.2020,2309,1683,81,26,4,0
Кувейт,12.04.2020,1234,142,1,80,9,0
Намибия,30.01.2020,0,0,0,0,0,0
Перу,25.03.2020,480,1,9,64,0,2
Ливан,12.11.2020,100703,55706,775,1874,837,12
Буркина-Фасо,15.06.2020,894,804,53,0,5,0
Габон,18.04.2020,108,7,1,0,0,0
ДР Конго,22.03.2020,30,0,1,7,0,0
Гана,13.06.2020,11118,3979,48,262,58,0
Сирия,02.07.2020,312,113,9,19,3,0
Андорра,21.06.2020,855,792,52,0,0,0
Босния и Герцеговина,06.10.2020,28710,22274,903,261,242,15
Монако,26.10.2020,310,250,2,4,6,0
Тунис,24.12.2020,126752,97776,4324,1752,750,49
Сент-Винсент и Гренадины,29.07.2020,52,39,0,0,0,0
Экваториальная Гвинея,05.01.2021,5279,5143,86,0,0,0
Оман,03.04.2020,252,57,1,21,0,0
Боливия,06.10.2020,137468,98542,8156,361,535,27
Уганда,24.01.2021,39149,13861,317,105,0,0
Marshall Islands,02.04.2020,0,0,0,0,0,0
Сингапур,13.08.2020,55497,50736,27,102,216,0
Кот-д’Ивуар,12.03.2020,1,0,0,0,0,0
Чад,28.05.2020,726,413,65,11,54,1
Малайзия,20.03.2020,1030,87,3,130,12,1
Грузия,28.10.2020,33858,14829,253,1731,2197,15
Иран,08.08.2020,324692,282122,18264,2125,2398,132
Бангладеш,06.10.2020,371631,284833,5405,1499,1651,30
Мозамбик,04.11.2020,13283,10983,95,81,288,0
Сальвадор,30.11.2020,38405,35078,1114,0,0,3
Мьянма,22.10.2020,41008,21144,1005,1312,2279,33
Коста-Рика,16.04.2020,642,74,4,16,7,0
Багамские острова,15.02.2020,0,0,0,0,0,0
ЦАР,04.07.2020,3969,914,48,51,55,0
Филиппины,15.07.2020,58850,20976,1614,1305,517,11
Ирландия,11.12.2020,75507,23364,2120,304,0,3
Сенегал,15.07.2020,8369,5605,153,126,25,3
Финляндия,21.04.2020,4014,2000,141,146,0,43
Гайана,11.12.2020,5839,4944,154,28,19,0
Антигуа и Барбуда,09.10.2020,111,97,3,0,0,0
Самоа,11.01.2021,2,2,0,0,0,0
Восточный Тимор,05.07.2020,24,24,0,0,0,0
Кот-д’Ивуар,04.07.2020,10462,4807,72,218,81,2
Малайзия,13.08.2020,9129,8821,125,15,4,0
Чад,17.10.2020,1365,1179,93,4,41,0
Азербайджан,06.11.2020,62338,47270,811,1465,805,17
Иран,15.03.2020,13938,4590,724,1209,1631,113
Чили,26.12.2020,598394,567376,16404,2563,2374,46
Уганда,07.02.2020,0,0,0,0,0,0
Marshall Islands,21.07.2020,0,0,0,0,0,0
Бенин,06.02.2020,0,0,0,0,0,0
Сингапур,20.03.2020,385,124,0,40,10,0
Сан-Томе и Принсипи,27.12.2020,1014,963,17,0,0,0
Боливия,18.06.2020,21499,4002,697,814,0,18
Оман,22.07.2020,71547,47922,349,1660,1314,12
Молдавия,06.02.2020,0,0,0,0,0,0
Гватемала,28.01.2020,0,0,0,0,0,0
Андорра,28.02.2020,0,0,0,0,0,0
Босния и Герцеговина,18.06.2020,3174,2219,168,33,22,0
Сент-Винсент и Гренадины,10.04.2020,12,1,0,0,0,0
Кабо-Верде,03.11.2020,8944,8155,95,62,45,0
Сенегал,20.02.2020,0,0,0,0,0,0
Мьянма,15.05.2020,182,89,6,1,5,0
Финляндия,14.09.2020,8627,7500,337,47,0,0
Восточный Тимор,14.02.2020,0,0,0,0,0,0
Антигуа и Барбуда,20.05.2020,25,19,3,0,0,0
Ирак,20.12.2020,584145,520969,12697,1027,1964,17
ЦАР,12.03.2020,0,0,0,0,0,0
Филиппины,20.02.2020,3,1,1,0,0,0
Израиль,24.11.2020,331132,318853,2826,857,561,6
Эритрея,17.01.2021,1877,1073,6,0,0,0
Румыния,29.12.2020,623066,549262,15469,4637,5921,135
Багамские острова,06.07.2020,104,89,11,0,0,0
Латвия,26.11.2020,15171,1719,188,898,33,4
Бангладеш,18.06.2020,102292,40164,1343,3803,1975,38
Никарагуа,09.02.2020,0,0,0,0,0,0
Коста-Рика,09.09.2020,51224,19544,543,1327,259,12
Австрия,31.07.2020,21130,18758,718,175,130,0
Армения,24.07.2020,36613,25734,692,451,490,4
Саудовская Аравия,25.01.2020,0,0,0,0,0,0
Кения,27.06.2020,5811,1936,141,278,31,4
Лихтенштейн,11.03.2020,1,0,0,0,0,0
Белиз,12.11.2020,4596,2513,75,76,28,0
Доминиканская Республика,19.11.2020,136183,111527,2301,1026,656,8
Сан-Марино,03.02.2020,0,0,0,0,0,0
Пакистан,16.04.2020,7025,1765,135,106,120,7
Бразилия,18.01.2021,8511770,7560460,210299,23671,51451,452
Катар,26.05.2020,47207,11844,28,1742,1481,2
Сербия,29.01.2020,0,0,0,0,0,0
Лесото,24.03.2020,0,0,0,0,0,0
Папуа — Новая Гвинея,25.01.2021,835,790,9,0,0,0
Судно "MS Zaandam",21.10.2020,9,0,2,0,0,0
Россия,24.08.2020,959016,771357,16406,4688,2451,65
Руанда,29.11.2020,5919,5480,48,28,0,1
Таджикистан,25.10.2020,10776,9889,81,40,53,0
Северная Македония,27.11.2020,59701,36825,1658,1093,761,28
ДР Конго,11.08.2020,9499,8375,225,10,12,1
Узбекистан,20.04.2020,1627,261,5,62,36,0
Южный Судан,09.01.2021,3589,3131,63,0,0,0
Гана,01.10.2020,46656,45942,301,30,185,0
Республика Конго,21.11.2020,5632,3887,93,0,0,0
Южная Корея,29.12.2020,59773,41435,879,1048,732,20
Сирия,14.03.2020,0,0,0,0,0,0
Дания,16.12.2020,120330,84331,975,3694,1708,14
ЮАР,24.12.2020,968563,822978,25983,14305,11606,326
Тринидад и Тобаго,14.11.2020,6077,5373,112,97,30,1
Зимбабве,03.02.2020,0,0,0,0,0,0
Буркина-Фасо,07.10.2020,2222,1478,59,25,37,0
Кувейт,17.07.2020,58221,48381,404,553,836,2
Габон,07.09.2020,8608,7533,53,7,109,0
Словения,07.12.2020,86288,63999,1796,483,419,52
Намибия,30.01.2021,33832,32295,350,136,643,8
Перу,14.08.2020,516296,354232,25856,17741,12294,4143
Эстония,13.10.2020,3908,3015,68,25,48,0
Беларусь,28.04.2020,12208,1993,79,919,253,4
Швейцария,14.03.2020,1359,4,13,220,0,2
Куба,24.03.2020,48,1,1,8,1,0
Литва,19.03.2020,36,1,0,9,0,0
Филиппины,20.01.2021,505939,466993,10042,1855,744,64
Израиль,17.04.2020,13246,3550,155,298,376,9
Гамбия,15.05.2020,23,10,1,0,0,0
Ирак,25.05.2020,4632,2811,163,163,73,3
ЦАР,30.12.2020,4963,1924,63,2,0,0
Восточный Тимор,26.01.2021,67,50,0,0,0,0
Антигуа и Барбуда,25.12.2020,155,146,5,1,0,0
Самоа,22.06.2020,0,0,0,0,0,0
Сенегал,20.01.2021,23642,19730,546,250,199,10
Ирландия,25.09.2020,34315,23364,1797,321,0,0
Мозамбик,29.08.2020,3760,2078,22,63,23,1
Никарагуа,23.07.2020,3439,2492,108,0,0,0
Сальвадор,02.10.2020,29175,23930,853,0,0,5
Бангладеш,26.11.2020,456438,371453,6524,2292,2274,37
Аргентина,14.08.2020,282437,199005,5527,6365,6571,165
Румыния,13.03.2020,89,7,0,40,1,0
Эритрея,23.02.2020,0,0,0,0,0,0
Сан-Томе и Принсипи,18.05.2020,246,4,7,11,0,0
Португалия,31.12.2020,413678,334276,6906,7627,3260,76
Бенин,26.07.2020,1770,1036,35,76,118,1
Marshall Islands,11.02.2020,0,0,0,0,0,0
Чили,19.05.2020,58167,21507,509,3520,1342,31
Азербайджан,05.05.2020,2060,1508,26,76,28,0
Малави,05.07.2020,1613,317,17,0,0,0
Вьетнам,20.03.2020,91,16,0,6,0,0
Экваториальная Гвинея,24.06.2020,1664,515,32,0,0,0
Кабо-Верде,08.05.2020,230,44,2,12,6,0
Ямайка,22.09.2020,5270,1444,75,127,37,5
Тунис,10.10.2020,31259,5032,456,4360,0,47
Андорра,12.01.2021,8682,7930,86,96,206,1
Босния и Герцеговина,26.11.2020,84252,48780,2480,924,570,51
Гватемала,04.08.2020,52365,40285,2037,823,939,24
Молдавия,26.07.2020,23034,15909,735,206,301,3
Боливия,26.11.2020,144390,120720,8939,114,511,6
Италия,30.01.2020,0,0,0,0,0,0
Оман,10.02.2020,0,0,0,0,0,0
Сомали,13.07.2020,3072,1343,93,13,79,0
Словения,07.06.2020,1485,1359,109,1,0,0
Панама,17.02.2020,0,0,0,0,0,0
Дания,29.05.2020,11793,10438,568,81,60,0
ЮАР,21.05.2020,19137,8950,369,1134,0,30
